SNo,Power Plant Name,Latitude,Longitude,state,Country,GEM ID
1,AKALTARA TPP,21.9603,82.40906,Chhattisgarh,India,L102159
2,AKRIMOTA LIG,23.7725,68.64556,Gujarat,India,L102193
3,AMAR KANTAK EXT,23.16215,81.63282,Madhya Pradesh,India,L102353
4,AMARAVATI TPP,21.08032,77.90124,Maharashtra,India,L102375
5,ANPARA,24.20204,82.78913,Uttar Pradesh,India,L102610
6,ANUPPUR TPP,23.07373,81.78429,Madhya Pradesh,India,L102318
7,AVANTHA BHANDAR TPP,21.74378,83.27409,Chhattisgarh,India,L102121
8,BAKRESWAR,23.82922,87.45103,West Bengal,India,L102661
9,BALCO TPP,22.399,82.74001,Chhattisgarh,India,L102125
10,BANDAKHAR TPP,22.34095,82.4306,Chhattisgarh,India,L102130
11,BANDEL,22.99575,88.40382,West Bengal,India,L102663
12,BARADARHA TPP,21.91144,83.18886,Chhattisgarh,India,L102127
13,BARAUNI,25.39138,86.02349,Bihar,India,L102090
14,BARH STPP I,25.4693,85.74516,Bihar,India,L102092
15,BARKHERA TPP,28.55,80.1,Uttar Pradesh,India,L102619
16,BARSINGAR LIGNITE,27.84502,73.19943,Rajasthan,India,L102521
17,BELLARY TPS,15.19317,76.7195,Karnataka,India,L102293
18,BHADRADRI TPP,18.02749,80.73565,Telangana,India,L102592
19,BHAVNAGAR TPP,21.58315,72.22218,Gujarat,India,L102199
20,BHILAI TPP,21.184,81.4237,Chhattisgarh,India,L102132
21,BHUSAWAL,21.04798,75.85502,Maharashtra,India,L102385
22,BINA TPP,24.31722,78.13356,Madhya Pradesh,India,L102324
23,BINJKOTE,22.01042,83.20578,Chhattisgarh,India,L102133
24,BOKARO A ''EXP'',23.782944,85.883391,Jharkhand,India,P100339
25,BONGAIGAON TPP,26.44437,90.36721,Assam,India,L102085
26,BUDGE BUDGE,22.47034,88.13995,West Bengal,India,L102665
27,BUTIBORI TPP -II,20.92859,78.93328,Maharashtra,India,L102387
28,CHAKABURA TPP,22.39365,82.55325,Chhattisgarh,India,L102137
29,CHANDRAPUR_Coal,20.0063,79.29,Maharashtra,India,L102388
30,CHANDRAPURA,23.74126,86.12021,Jharkhand,India,L102252
31,CHHABRA TPS,24.62092,77.03544,Rajasthan,India,L102524
32,D.P.L.,23.52115,87.30231,West Bengal,India,L102669
33,DADRI (NCTPP),28.603,77.6078,Uttar Pradesh,India,L102642
34,DAMODARAM SANJEEVAIAH,14.3276,80.12211,Andhra Pradesh,India,L102071
35,DARLIPALLI STPP St-I,21.96355,83.89187,Odisha,India,L102458
36,DERANG,21.12704,84.98055,Odisha,India,L102442
37,DHANU,19.95348,72.74869,Maharashtra,India,L102391
38,DHARIWAL INF TPP,20.01059,79.20343,Maharashtra,India,L102394
39,DURGAPUR,23.53151,87.24986,West Bengal,India,L102668
40,DURGAPUR STEEL TPS,23.58,87.2043,West Bengal,India,L102672
41,EMCO GMR WARORA TPP,20.27966,78.97535,Maharashtra,India,L102400
42,FARAKKA STPS,24.77273,87.89371,West Bengal,India,L102673
43,GADARWARA,22.86175,78.86613,Madhya Pradesh,India,L102332
44,GANDHI NAGAR,23.24972,72.67389,Gujarat,India,L102207
45,GEPL,19.92949,79.13316,Maharashtra,India,L102402
46,GHTP (LEH.MOH.),30.26655,75.1661,Punjab state,India,L102512
47,GOINDWAL SAHIB TPP,31.38414,75.1465,Punjab state,India,L102511
48,Harduaganj Expn_II,28.0175,78.13,Uttar Pradesh,India,L102630
49,HALDIA,22.06046,88.10975,West Bengal,India,L102674
50,I.B.VALLEY,21.68978,83.86016,Odisha,India,L102467
51,"IEPL ,BELA TPP",20.80915,79.05489,Maharashtra,India,L102379
52,"INDIA POWER TPP (HALDIA, HIRANMAYE )",22.07699,88.09841,West Bengal,India,L104433
53,ITPCL TPP,11.52161,79.75184,Tamil Nadu,India,L102542
54,IND BARATH TPP,21.65794,83.91951,Odisha,India,L102471
55,INDRA GANDHI STPP,28.48509,76.37316,Haryana,India,L102237
56,JALLIPPA KAPURDI TPP,25.8948,71.32628,Rajasthan,India,L102526
57,JOJBERA,22.7554,86.2491,Jharkhand,India,L102268
58,JSW RATNAGIRI TPP,17.29638,73.21311,Maharashtra,India,L102428
59,K_GUDEM NEW,17.6219,80.69355,Telangana,India,L102598
60,K_KHEDA II,21.2818,79.116,Maharashtra,India,L102406
61,KAHALGAON,25.2369,87.2656,Bihar,India,L102104
62,KAKATIYA TPP (Stage-I),18.38319,79.82716,Telangana,India,L102595
63,KALISINDH,24.53251,76.10035,Rajasthan,India,L102527
64,KAMALANGA,20.87058,85.26698,Odisha,India,L102476
65,KASAIPALLI,22.38895,82.5549,Chhattisgarh,India,L102152
66,KATGHORA TPP,22.48978,82.60618,Chhattisgarh,India,L102153
67,KAWAI TPP,24.778,76.73714,Rajasthan,India,L102528
68,KHAMBERKHERA IPP,27.9,80.8,Uttar Pradesh,India,L102635
69,KHARGONE STPP St-I,22.06517,75.85194,Madhya Pradesh,India,L102345
70,KODERMA,24.39153,85.5619,Jharkhand,India,L102272
71,KOLAGHAT,22.41657,87.87098,West Bengal,India,L102677
72,KORADI,21.24207,79.09497,Maharashtra,India,L102411
73,KORBA STPS,22.38742,82.6819,Chhattisgarh,India,L102157
74,KORBA-V,22.3682,82.72199,Chhattisgarh,India,L102143
75,KORBA-WEST,22.41254,82.68219,Chhattisgarh,India,L102148
76,KOTA,25.17101,75.81698,Rajasthan,India,L102530
77,KUDGI,16.49955,75.83463,Karnataka,India,L102306
78,KUNDARKI TPP,27.03,82.23,Uttar Pradesh,India,L102637
79,KUTCH LIG.,23.66393,68.78413,Gujarat,India,L102213
80,LARA,21.75766,83.45755,Chhattisgarh,India,L102164
81,LALITPUR TPP,24.79583,78.64694,Uttar Pradesh,India,L102638
82,MAHADEV PRASAD STPP,22.8365,86.06129,Jharkhand,India,L102275
83,MAHAN TPP,24.00867,82.41703,Madhya Pradesh,India,L102348
84,MAHATMA GANDHI TPP,28.48814,76.35253,Haryana,India,L102238
85,MAITHON RB TPP,23.8209,86.76,Jharkhand,India,L102276
86,MAQSOODPUR IPP,27.81,79.94,Uttar Pradesh,India,L102639
87,MARWA TPP,22.0708,82.60219,Chhattisgarh,India,L102165
88,MEJA STPP,25.14587,81.9401,Uttar Pradesh,India,L102640
89,MEJIA,23.4639,87.1311,West Bengal,India,L102680
90,MELAMARUTHUR (MUTHIARA),8.912716,78.14497,Tamil Nadu,India,L102562
91,METTUR,11.77202,77.8141,Tamil Nadu,India,L102561
92,MIHAN TPP,21.0377,78.9334,Maharashtra,India,L102417
93,MOUDA STPS,21.18074,79.39654,Maharashtra,India,L102415
94,MUNDRA TPP,22.82356,69.55111,Gujarat,India,L102217
95,MUNDRA UMPP,22.8158,69.5281,Gujarat,India,L102230
96,MUZAFFARPUR EXP,26.19477,85.3033,Bihar,India,L102112
97,NABI NAGAR TPP (BRBCL),24.70508,84.08874,Bihar,India,L102114
98,NABI NAGAR STPP (NEW),24.776,84.15803,Bihar,India,L102113
99,NASHIK,19.98146,73.89206,Maharashtra,India,L102420
100,NASIK TPP PH 1,19.86666,74.08175,Maharashtra,India,L102421
101,NAWAPARA,21.90674,83.12856,Chhattisgarh,India,L102169
102,NEYVELI NEW TPP,11.54706,79.44289,Tamil Nadu,India,L102565
103,NIGRI,24.14997,81.90452,Madhya Pradesh,India,L102338
104,NIWARI TPP,22.95817,78.73289,Madhya Pradesh,India,L102331
105,NORTH CHENNAI,13.25301,80.3278,Tamil Nadu,India,L102569
106,OBRA-A,24.44458,82.98033,Uttar Pradesh,India,L102644
107,PAINAMPURAM,14.3512,80.14309,Andhra Pradesh,India,L102033
108,PANIPAT,29.39751,76.87632,Haryana,India,L102239
109,PARAS,20.7147,76.7948,Maharashtra,India,L102422
110,PARICHA,25.51357,78.75792,Uttar Pradesh,India,L102646
111,PARLI,18.90759,76.54295,Maharashtra,India,L102424
112,PATHADI TPS PH -I,22.2454,82.7246,Chhattisgarh,India,L102162
113,PRYAGRAJ (BARA) TPP,25.19635,81.65853,Uttar Pradesh,India,L102616
114,R_GUNDEM - B,18.755,79.45611,Telangana,India,L102603
115,R_GUNDEM STPS,18.75845,79.45732,Telangana,India,L102602
116,RAGHUNATHPUR TPP PH-I,23.62191,86.6607,West Bengal,India,L102681
117,RAICHUR,16.3532,77.3422,Karnataka,India,L102309
118,RAIGARH TPP,21.924951,83.345444,Chhattisgarh,India,L102189
119,RAIKHEDA,21.44992,81.85247,Chhattisgarh,India,L102173
120,RAJIV GANDHI TPS HISAR,29.34698,75.85754,Haryana,India,L102240
121,RAJPURA TPP,30.55896,76.57759,Punjab state,India,L102515
122,RATIJA TPP,22.33999,82.49278,Chhattisgarh,India,L102177
123,RAYAL SEEMA,14.69728,78.45936,Andhra Pradesh,India,L102066
124,RIHAND,24.027,82.7915,Uttar Pradesh,India,L102649
125,ROPAR,31.04181,76.5845,Punjab state,India,L102516
126,ROSA TPP,27.81945,79.93716,Uttar Pradesh,India,L102650
127,SAGARDIGHI TPP,24.36881,88.104,West Bengal,India,L102684
128,SALAYA TPP,22.3049,69.7101,Gujarat,India,L102224
129,SALORA,22.48995,82.60624,Chhattisgarh,India,L102179
130,SANJAY GANDHI,23.30574,81.06482,Madhya Pradesh,India,L102359
131,SANTALDIH,23.6013,86.4666,West Bengal,India,L102686
132,SASAN UMPP,23.97752,82.62647,Madhya Pradesh,India,L102360
133,SATPURA,22.10813,78.17707,Madhya Pradesh,India,L102361
134,SEIONI TPP,22.73548,79.91234,Madhya Pradesh,India,L102340
135,SHIRPUR,21.15103,74.85421,Maharashtra,India,L102419
136,Shri Singaji MALWA TPP,22.09914,76.53173,Madhya Pradesh,India,L102366
137,SIKKA EXTN,22.42083,69.8276,Gujarat,India,L102225
138,SIMHADRI,17.591,83.09166,Andhra Pradesh,India,L102068
139,SIMHAPURI TPP,14.20458,80.08664,Andhra Pradesh,India,L102073
140,SINGARENI TPP,18.82706,79.57028,Telangana,India,L102601
141,SINGRAULI STPS,24.10421,82.70636,Uttar Pradesh,India,L102652
142,SIPAT STPS,22.13166,82.29035,Chhattisgarh,India,L102185
143,SITAPURAM POWER LIMITED,17.05416,79.26979,Telangana,India,L102606
144,SOLAPUR STPP,17.5513,75.9832,Maharashtra,India,L102431
145,SOUTHERN REPL.,22.54959,88.29151,West Bengal,India,L102688
146,SURAT LIG.,21.3973,73.10699,Gujarat,India,L102228
147,SURATGARH,29.18177,74.01874,Rajasthan,India,L102534
148,SVPL,22.35389,82.75068,Chhattisgarh,India,L102188
149,TALCHER STPS,21.09707,85.07503,Odisha,India,L102502
