SNo,Power Plant Name,mean_ammonium_sulfate_ug/m3,mean_pm2.5_ug/m3,sulfate_fraction_%
1,AKALTARA TPP,18.097009658813477,42.627838134765625,42.45350092960556
2,AKRIMOTA LIG,7.515910625457764,47.353878021240234,15.871795383023448
3,AMAR KANTAK EXT,15.87844181060791,37.072998046875,42.83020701625277
4,AMARAVATI TPP,13.734675407409668,35.79775619506836,38.36741982532919
5,ANPARA,18.159442901611328,42.94517135620117,42.28517974929247
6,ANUPPUR TPP,15.983208656311035,37.258243560791016,42.8984491183344
7,AVANTHA BHANDAR TPP,17.412057876586914,42.655826568603516,40.819881543223744
8,BAKRESWAR,20.211212158203125,51.538394927978516,39.21583546877421
9,BALCO TPP,17.40814971923828,40.377197265625,43.113813979502375
10,BANDAKHAR TPP,17.40814971923828,40.377197265625,43.113813979502375
11,BANDEL,21.100080490112305,53.25571060180664,39.62031536463342
12,BARADARHA TPP,17.452028274536133,42.14724349975586,41.40728271977555
13,BARAUNI,21.674270629882812,55.73051452636719,38.89120854900469
14,BARH STPP I,22.591129302978516,57.06836700439453,39.586079800108685
15,BARKHERA TPP,17.788320541381836,51.729736328125,34.387031143072896
16,BARSINGAR LIGNITE,10.453537940979004,50.60688018798828,20.65635720310652
17,BELLARY TPS,8.653200149536133,23.046497344970703,37.54670403927766
18,BHADRADRI TPP,12.632274627685547,32.11546325683594,39.33393246319342
19,BHAVNAGAR TPP,11.715333938598633,39.942012786865234,29.33085521030921
20,BHILAI TPP,17.650163650512695,41.555667877197266,42.4735410405901
21,BHUSAWAL,12.007855415344238,32.87405776977539,36.526842835886036
22,BINA TPP,13.348544120788574,37.355953216552734,35.73337840800626
23,BINJKOTE,17.452028274536133,42.147247314453125,41.4072789720516
24,BOKARO A ''EXP'',18.93201446533203,46.02891159057617,41.13070201122922
25,BONGAIGAON TPP,13.054717063903809,36.455387115478516,35.8101177819092
26,BUDGE BUDGE,21.656578063964844,54.59598159790039,39.666981763356915
27,BUTIBORI TPP -II,14.631861686706543,37.28146743774414,39.247011162154784
28,CHAKABURA TPP,17.40814971923828,40.377197265625,43.113813979502375
29,CHANDRAPUR_Coal,15.808730125427246,38.010135650634766,41.59082795897163
30,CHANDRAPURA,21.082746505737305,50.74129104614258,41.54948774670573
31,CHHABRA TPS,12.25786304473877,36.15214157104492,33.90632618720539
32,D.P.L.,20.794309616088867,53.72034454345703,38.708444245489396
33,DADRI (NCTPP),19.755617141723633,58.232383728027344,33.92548248409625
34,DAMODARAM SANJEEVAIAH,9.525238990783691,27.022384643554688,35.24943899818119
35,DARLIPALLI STPP St-I,16.69222068786621,41.57912063598633,40.145679929121094
36,DERANG,17.617218017578125,43.84109115600586,40.18425991015672
37,DHANU,11.876792907714844,41.59020233154297,28.55670865228566
38,DHARIWAL INF TPP,15.808730125427246,38.010135650634766,41.59082795897163
39,DURGAPUR,20.85420799255371,53.80205154418945,38.760990322879124
40,DURGAPUR STEEL TPS,20.928869247436523,53.90390396118164,38.8262587854643
41,EMCO GMR WARORA TPP,15.042238235473633,37.63619613647461,39.96747753393615
42,FARAKKA STPS,19.42731475830078,50.14234161376953,38.7443309048931
43,GADARWARA,13.859349250793457,37.020362854003906,37.43709726846859
44,GANDHI NAGAR,10.330656051635742,41.2069206237793,25.07019669330551
45,GEPL,15.721491813659668,37.941795349121094,41.43581417009528
46,GHTP (LEH.MOH.),17.257551193237305,57.5069694519043,30.009495123318196
47,GOINDWAL SAHIB TPP,15.821304321289062,55.57539367675781,28.468182183846036
48,Harduaganj Expn_II,19.33452033996582,56.321006774902344,34.32914545941965
49,HALDIA,21.498741149902344,54.28584671020508,39.60284761637667
50,I.B.VALLEY,16.83412742614746,42.533912658691406,39.578130423201415
51,"IEPL ,BELA TPP",14.953753471374512,37.6881217956543,39.677629870902145
52,"INDIA POWER TPP (HALDIA, HIRANMAYE )",21.49873924255371,54.28584671020508,39.60284410284828
53,ITPCL TPP,6.736721038818359,23.0644588470459,29.208233687569045
54,IND BARATH TPP,16.84299659729004,42.59359359741211,39.543497448201656
55,INDRA GANDHI STPP,15.95242691040039,52.36125183105469,30.46609153247792
56,JALLIPPA KAPURDI TPP,8.21742057800293,53.183135986328125,15.451177192927087
57,JOJBERA,20.148733139038086,50.07546615600586,40.236736042089795
