130 NCAP Cities,mean_ammonium_sulfate_ug/m3,mean_pm2.5_ug/m3,sulfate_fraction_%,distance_to_closest_tpp_km,closest_tpp_sno
Anantapur,8.297199249267578,22.235334396362305,37.31537876320402,92.3869244383366,123
Chitoor,8.093265533447266,21.74591064453125,37.217413727774115,140.88660971964595,123
Eluru,12.915209770202637,33.20521926879883,38.89511966673977,60.27446304243052,171
Guntur,12.282093048095703,32.10991668701172,38.250155451395926,34.01718482676285,170
Kadapa,9.044681549072266,24.787220001220703,36.48929387251511,46.830196029111505,123
Kurnool,10.584505081176758,27.27287483215332,38.809641984269916,89.35508068510396,178
Nellore,9.573870658874512,27.112865447998047,35.31117239244598,19.38933670267985,34
Ongole,10.859957695007324,29.563325881958008,36.7345600368833,128.13835676339195,107
Rajahmundry,13.488544464111328,33.47319412231445,40.296556148250495,136.62183860206088,59
Srikakulam,15.495641708374023,38.41365051269531,40.33889386079794,113.78850913057887,173
Vijayawada,12.432856559753418,32.21779251098633,38.590032372682856,15.125036310147433,171
Vishakhapatnam,15.19868278503418,38.160499572753906,39.82831188060714,16.037905692724348,173
Vizianagaram,15.393391609191895,36.587677001953125,42.07261261317619,65.53454313828925,138
Guwahati,11.200254440307617,32.015010833740234,34.98438435167982,138.8330537175443,25
Nagaon,11.063939094543457,32.91987991333008,33.60868606954849,231.3925687360331,25
Nalbari,12.154540061950684,35.56981658935547,34.170938248773595,107.10255000905202,25
Sibsagar,8.733036994934082,27.473281860351562,31.787381789058415,429.3360591411596,25
Silchar,10.975199699401855,31.14427375793457,35.23986394643646,300.83563915446854,25
Gaya,21.171205520629883,53.00846862792969,39.93928907705695,72.09574538453266,70
Muzzafarpur,21.691816329956055,56.03995895385742,38.70776627052282,12.087280757290525,96
Patna,22.526853561401367,57.31905746459961,39.30080946518356,62.61541897398071,14
Chandigarh,12.630979537963867,41.06104278564453,30.761468002414738,27.347910886185836,121
Bhilai,17.64793586730957,41.523773193359375,42.50080016844878,7.633427734803935,20
Korba,17.380332946777344,40.330596923828125,43.09465833001022,0.6190066708915616,148
Raipur,17.83452606201172,42.37820053100586,42.08419857035494,22.644940054102094,20
Delhi,19.074493408203125,57.70458984375,33.05541805227663,39.03974885257556,33
Ahmedabad,10.671573638916016,41.154388427734375,25.930584918434434,5.80108577849733,159
Rajkot,9.129947662353516,38.30774688720703,23.833162752264307,101.20904850804234,137
Surat,11.992462158203125,39.96290588378906,30.00898431429598,38.10420525413781,146
Vadodara,12.576494216918945,40.12211990356445,31.34553769129644,65.21793508422444,175
Faridabad,19.755617141723633,58.232383728027344,33.92548248409625,35.61987569141299,33
